,topic_id,topic,T/F,speecher,id,reference
841,2,이재용 기소여부 권고할 검찰수사심의위원회는 비법률전문가들이다,False,"SNS, 인터넷 커뮤니티",2333,
844,2,토지공개념은 사회주의 정책이다,False,인터넷 커뮤니티 및 SNS,2240,
850,2,정부가 마스크 공장 물량 다 가져가서 판매할 물량이 없다?,False,온라인 커뮤니티 이용자,2040,출처: 온라인 커뮤니티 이용자 및 관련 보도 다수 댓글 등
855,2,"""주택보유자 증가 둔화는 다주택자가 늘었기 때문""?",False,박광온,1969,출처: 더불어민주당 최고위원회 발언
856,2,"""소득주도성장 정책의 성과가 분명하게 나타나고 있다""?",False,문재인,1959,출처: 청와대 브리핑
859,2,"""철도노조 요구대로 하면 주 31시간 근무로 줄어든다""",False,김경욱,1929,출처: 다수 언론 보도
862,2,"유튜브 노란딱지, 보수 유튜버만 골라 억압한다?",False,나경원,1895,"출처: 유튜브 노란딱지, 무엇이 문제인가"
863,2,"서울시 청년수당, 정책 효과 입증 됐다?",False,서울특별시,1894,
865,2,우리나라 정부 지출은 매년 '슈퍼 예산'?,False,언론 보도,1862,
870,2,"""신라젠은 문재인 수혜주로 불렸다""",False,이언주,1778,출처: 이언주 의원 사회관계망서비스(블로그) 게시물
872,2,"""남북간 경제협력으로 평화경제가 실현된다면 단숨에 일본경제의 우위를 따라잡을 수 있다""",False,문재인,1768,출처: 8월 5일 청와대 수석보좌관회의
873,2,"""추경 반영 사업들의 본예산 집행실적 70% 육박""",True,조정식,1759,
880,2,"""한국 기업이 납품기한을 짧게 요청해 수출관리에 문제가 있다.""",False,일본 경제산업성,1705,
881,2,"""한국의 캐치올 제도(전략물자통제)가 제대로 이루어지지 않는다.""",False,일본 경제산업성,1703,
883,2,"""일본이 수출 규제를 풀지 않으면 이달말 반도체 공장 가동이 중단될 수 있다.""",False,언론 보도,1701,출처: 2019년 7월 5일 기사
886,2,"""외국인에게 똑같은 임금 수준을 유지하는 것은 공정하지 않다""",False,황교안,1671,출처: 6월 19일 부산 지역 기업인 조찬 간담회
888,2,“세계경제 좋은데 우리만 마이너스 성장에 고용절벽”,True,황교안,1653,출처: 자유한국당 최고위원회
890,2,"""소득주도성장은 실패하지 않았다"" ?",False,이강국,1650,출처: 경기도의회 민주당 주최 ‘경제공부 모임’
895,2,“정헌율 익산시장을 비롯한 도내 14개 시장 군수가 김제역 KTX정차를 동의했다”,True,박준배,1605,출처: ‘KTX 김제역 정차’ 놓고 익산지역서 논란
896,2,"""국가 채무비율 40% 제한선, 정해진 기준 없다.""",True,최운열,1603,
899,2,“대통령 직권으로 화폐단위 변경 가능하다”,False,유튜브 이용자,1585,
903,2,"""청년실업률 아주 낮아졌다""?",False,문재인,1562,출처: 5월 9일 문재인 대통령 취임 2주년 대담
